Name,Aliases,MainRegion,SubRegion,SeaTradeRegion,MapPixelX,MapPixelY,WorldX,WorldY
"Abidjan","","Africa","Gulf of Guinea","Gulf of Guinea","4048","1141","16192","4564"
"Acapulco","","Americas","Mexico Pacific","Pacific Central America","2959","1066","11836","4264"
"Aden","","Middle East","Gulf of Aden","Arabian Sea / Gulf of Aden","518","1067","2072","4268"
"Alexandria","","Africa","Egypt / Libya","Eastern Mediterranean / Nile","335","886","1340","3544"
"Algiers","","Africa","Maghreb","Western Mediterranean / North Africa","12","821","48","3284"
"Ambon","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1454","1229","5816","4916"
"Amsterdam","","Europe","North Sea Low Countries","North Sea / English Channel","25","627","100","2508"
"Ancona","","Europe","Adriatic","Adriatic Sea","","","",""
"Anping","","East Asia","Taiwan","Taiwan Strait","1420","981","5680","3924"
"Antwerp","","Europe","North Sea Low Countries","North Sea / English Channel","13","634","52","2536"
"Arguin","","Africa","West Africa Atlantic","West Africa Atlantic","3900","995","15600","3980"
"Arkhangelsk","","Europe","Northern Russia","White Sea","3627","607","14508","2428"
"Athens","","Europe","Aegean / Eastern Mediterranean","Eastern Mediterranean","272","812","1088","3248"
"Auckland","","Oceania","New Zealand","Tasman Sea / New Zealand","","","",""
"Azores","","Atlantic Islands","Macaronesia","Atlantic Islands","3684","787","14736","3148"
"Bahia","","Americas","Brazil Atlantic","Brazil Atlantic","","","",""
"Banda","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","","","",""
"Banda Aceh","","Southeast Asia","Sumatra / Aceh","Strait of Malacca / Andaman","","","",""
"Banjarmasin","","Southeast Asia","Indonesia / Spice Islands","Java Sea / Spice Islands","1310","1222","5240","4888"
"Barcelona","","Europe","Iberia Mediterranean","Western Mediterranean","4091","776","16364","3104"
"Basra","","Middle East","Persian Gulf / Oman","Persian Gulf / Arabian Sea","550","931","2200","3724"
"Bathurst","","Africa","West Africa Atlantic","West Africa Atlantic","","","",""
"Beirut","","Middle East","Levant","Eastern Mediterranean","402","851","1608","3404"
"Benghazi","","Africa","Egypt / Libya","Eastern Mediterranean / Nile","286","882","1144","3528"
"Benguela","","Africa","Southwest Africa","South Atlantic Africa","149","1303","596","5212"
"Benin","","Africa","Gulf of Guinea","Gulf of Guinea","49","1137","196","4548"
"Bergen","","Europe","Scandinavia","North Sea / Baltic","61","489","244","1956"
"Bilbao","","Europe","Iberia Atlantic","Iberian Atlantic","4014","740","16056","2960"
"Bissau","","Africa","West Africa Atlantic","West Africa Atlantic","","","",""
"Bordeaux","","Europe","France Atlantic","Bay of Biscay / Channel","4030","709","16120","2836"
"Bremen","","Europe","North Sea Low Countries","North Sea / English Channel","4030","588","16120","2352"
"Bristol","","Europe","British Isles","North Sea / English Channel","3627","589","14508","2356"
"Brunei","","Southeast Asia","Malay Peninsula / Borneo","Strait of Malacca / Borneo","1312","1137","5248","4548"
"Buenos Aires","","Americas","Rio de la Plata","South Atlantic / Plata","3429","1528","13716","6112"
"Busan","","East Asia","Korea","Korea Strait / Yellow Sea","","","",""
"Cabo Verde","","Africa","West Africa Atlantic","West Africa Atlantic","3866","1051","15464","4204"
"Cagliari","","Europe","Italian Peninsula / Islands","Central Mediterranean","83","789","332","3156"
"Cairo","","Africa","Egypt / Libya","Eastern Mediterranean / Nile","356","901","1424","3604"
"Calais","","Europe","North Sea Low Countries","North Sea / English Channel","4079","645","16316","2580"
"Calcutta","","South Asia","East India / Bengal","Bay of Bengal","996","984","3984","3936"
"Calicut","","South Asia","West India / Malabar","Arabian Sea / West India","862","1079","3448","4316"
"Calvi","","Europe","Southern France / Corsica","Western Mediterranean","76","746","304","2984"
"Candia","","Europe","Aegean / Eastern Mediterranean","Eastern Mediterranean","288","842","1152","3368"
"Cape Town","","Africa","Cape Region","Cape Sea Route","247","1502","988","6008"
"Caracas","","Americas","Venezuela / Southern Caribbean","Southern Caribbean","3336","1106","13344","4424"
"Casablanca","","Africa","Maghreb","Western Mediterranean / North Africa","3943","863","15772","3452"
