Name,Aliases,MainRegion,SubRegion,SeaTradeRegion,MapPixelX,MapPixelY,WorldX,WorldY,CoordinateConfidence,CoordinateNotes
Abidjan,,Africa,Gulf of Guinea,Gulf of Guinea,,,,,,
Acapulco,,Americas,Mexico Pacific,Pacific Central America,,,,,,
Aden,,Middle East,Gulf of Aden,Arabian Sea / Gulf of Aden,,,,,,
Alexandria,,Africa,Egypt / Libya,Eastern Mediterranean / Nile,362,910,1448,3640,medium,visually checked Egypt coast
Algiers,,Africa,Maghreb,Western Mediterranean / North Africa,30,828,120,3312,medium,visually checked North Africa coast
Ambon,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Amsterdam,,Europe,North Sea Low Countries,North Sea / English Channel,4018,610,16072,2440,medium,visually checked near Netherlands
Ancona,,Europe,Adriatic,Adriatic Sea,,,,,,
Anping,,East Asia,Taiwan,Taiwan Strait,,,,,,
Antwerp,,Europe,North Sea Low Countries,North Sea / English Channel,4002,632,16008,2528,medium,visually checked near Belgium
Arguin,,Africa,West Africa Atlantic,West Africa Atlantic,,,,,,
Arkhangelsk,,Europe,Northern Russia,White Sea,205,275,820,1100,low,northern label is small
Athens,,Europe,Aegean / Eastern Mediterranean,Eastern Mediterranean,226,850,904,3400,medium,visually checked near Greece
Auckland,,Oceania,New Zealand,Tasman Sea / New Zealand,,,,,,
Azores,,Atlantic Islands,Macaronesia,Atlantic Islands,,,,,,
Bahia,,Americas,Brazil Atlantic,Brazil Atlantic,,,,,,
Banda,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Banda Aceh,,Southeast Asia,Sumatra / Aceh,Strait of Malacca / Andaman,,,,,,
Banjarmasin,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Barcelona,,Europe,Iberia Mediterranean,Western Mediterranean,4078,762,16312,3048,medium,visually checked near right map edge
Basra,,Middle East,Persian Gulf / Oman,Persian Gulf / Arabian Sea,,,,,,
Bathurst,,Africa,West Africa Atlantic,West Africa Atlantic,,,,,,
Beirut,,Middle East,Levant,Eastern Mediterranean,376,858,1504,3432,low,dense Levant coast
Benghazi,,Africa,Egypt / Libya,Eastern Mediterranean / Nile,286,882,1144,3528,low,Libya label is hard to separate
Benguela,,Africa,Southwest Africa,South Atlantic Africa,,,,,,
Benin,,Africa,Gulf of Guinea,Gulf of Guinea,,,,,,
Bergen,,Europe,Scandinavia,North Sea / Baltic,42,484,168,1936,medium,visually checked on Norway coast
Bilbao,,Europe,Iberia Atlantic,Iberian Atlantic,3976,720,15904,2880,medium,visually checked north Spain
Bissau,,Africa,West Africa Atlantic,West Africa Atlantic,,,,,,
Bordeaux,,Europe,France Atlantic,Bay of Biscay / Channel,3990,696,15960,2784,medium,visually checked west France
Bremen,,Europe,North Sea Low Countries,North Sea / English Channel,4030,588,16120,2352,medium,visually checked north Germany
Bristol,,Europe,British Isles,North Sea / English Channel,4034,632,16136,2528,low,dense UK area
Brunei,,Southeast Asia,Malay Peninsula / Borneo,Strait of Malacca / Borneo,,,,,,
Buenos Aires,,Americas,Rio de la Plata,South Atlantic / Plata,,,,,,
Busan,,East Asia,Korea,Korea Strait / Yellow Sea,,,,,,
Cabo Verde,,Africa,West Africa Atlantic,West Africa Atlantic,,,,,,
Cagliari,,Europe,Italian Peninsula / Islands,Central Mediterranean,90,782,360,3128,medium,visually checked Sardinia
Cairo,,Africa,Egypt / Libya,Eastern Mediterranean / Nile,356,940,1424,3760,low,dense Egypt area
Calais,,Europe,North Sea Low Countries,North Sea / English Channel,4054,592,16216,2368,medium,visually checked channel coast
Calcutta,,South Asia,East India / Bengal,Bay of Bengal,,,,,,
Calicut,,South Asia,West India / Malabar,Arabian Sea / West India,,,,,,
Calvi,,Europe,Southern France / Corsica,Western Mediterranean,66,735,264,2940,medium,visually checked Corsica
Candia,,Europe,Aegean / Eastern Mediterranean,Eastern Mediterranean,224,886,896,3544,medium,visually checked Crete
Cape Town,,Africa,Cape Region,Cape Sea Route,,,,,,
Caracas,,Americas,Venezuela / Southern Caribbean,Southern Caribbean,,,,,,
Casablanca,,Africa,Maghreb,Western Mediterranean / North Africa,3974,860,15896,3440,medium,visually checked Morocco coast
Cayenne,,Americas,Amazon / Guianas,Amazon / Guianas,,,,,,
Ceuta,,Africa,Maghreb,Western Mediterranean / North Africa,3994,844,15976,3376,medium,visually checked near Gibraltar
Ceylon,,South Asia,Sri Lanka,Indian Ocean / Sri Lanka,,,,,,
Changan,,East Asia,China Inland,China River / Coastal Trade,,,,,,
Chersky,,Arctic / Siberia,Russian Arctic,Arctic Sea Route,,,,,,
Chongqing,,East Asia,China Inland,China River / Coastal Trade,,,,,,
Cochin,,South Asia,West India / Malabar,Arabian Sea / West India,,,,,,
Cohasset,,North America,North Atlantic Coast,North Atlantic Coast,,,,,,
Copenhagen,,Europe,Scandinavia,North Sea / Baltic,106,526,424,2104,medium,visually checked Denmark
Copiapo,,Americas,Chile Pacific,Pacific South America,,,,,,
Danzig,,Europe,Baltic,Baltic Sea,140,536,560,2144,medium,visually checked Baltic coast
Davao City,,Southeast Asia,Philippines,Philippine Sea / Sulu Sea,,,,,,
Dikson,,Arctic / Siberia,Russian Arctic,Arctic Sea Route,,,,,,
Dili,,Southeast Asia,Timor,Timor Sea,,,,,,
Diu,,South Asia,West India / Malabar,Arabian Sea / West India,,,,,,
Douala,,Africa,Gulf of Guinea,Gulf of Guinea,,,,,,
Dover,,Europe,British Isles,North Sea / English Channel,4014,606,16056,2424,medium,visually checked south England
Dublin,,Europe,British Isles,North Sea / English Channel,3988,566,15952,2264,low,dense Ireland/UK area
Edinburgh,,Europe,British Isles,North Sea / English Channel,4038,518,16152,2072,low,dense UK area
Edo,,East Asia,Japan,Japan Sea / East China Sea,,,,,,
El Dorado,,Americas,Northern South America Inland,Orinoco / Caribbean Trade,,,,,,
Famagusta,,Europe,Aegean / Eastern Mediterranean,Eastern Mediterranean,372,858,1488,3432,low,Cyprus area is hard to separate
Faro,,Europe,Iberia Atlantic,Iberian Atlantic,3946,818,15784,3272,medium,visually checked south Portugal
Florence,,Europe,Italian Peninsula / Islands,Central Mediterranean,112,716,448,2864,medium,visually checked Italy
Frankfurt,,Europe,Central Europe Inland,North Sea / Rhine Trade,102,620,408,2480,medium,visually checked central Europe
Genoa,,Europe,Italian Peninsula / Islands,Central Mediterranean,74,728,296,2912,medium,visually checked north Italy coast
Gia Dinh,,Southeast Asia,Mainland Southeast Asia,Indochina / Gulf of Thailand,,,,,,
Gijon,,Europe,Iberia Atlantic,Iberian Atlantic,3974,704,15896,2816,medium,visually checked north Spain
Goa,,South Asia,West India / Malabar,Arabian Sea / West India,,,,,,
Grand Cayman,,Americas,Caribbean,Caribbean Sea,,,,,,
Groningen,,Europe,North Sea Low Countries,North Sea / English Channel,4020,582,16080,2328,medium,visually checked north Netherlands
Guam,,Oceania,Pacific Islands,Pacific Islands,,,,,,
Guatemala,,Americas,Central America,Caribbean / Central America,,,,,,
Hamburg,,Europe,North Sea Low Countries,North Sea / English Channel,4054,584,16216,2336,medium,visually checked north Germany
Hangzhou,,East Asia,China Coast,South China Sea / East China Sea,,,,,,
Hanyang,,East Asia,Korea,Korea Strait / Yellow Sea,,,,,,
Havana,,Americas,Caribbean,Caribbean Sea,,,,,,
Helder,,Europe,North Sea Low Countries,North Sea / English Channel,4006,590,16024,2360,medium,visually checked Netherlands coast
Hiva Oa,,Oceania,Pacific Islands,Pacific Islands,,,,,,
Hobart,,Oceania,Australia South,Australia Coastal Trade,,,,,,
Hormuz,,Middle East,Persian Gulf / Oman,Persian Gulf / Arabian Sea,,,,,,
Istanbul,,Europe,Black Sea,Black Sea,306,762,1224,3048,medium,visually checked Bosporus
Jaffa,,Middle East,Levant,Eastern Mediterranean,372,882,1488,3528,low,dense Levant coast
Jakarta,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Jamaica,,Americas,Caribbean,Caribbean Sea,,,,,,
Jambi,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Jeddah,,Middle East,Red Sea / Hejaz,Red Sea,,,,,,
Jofra,,Africa,Maghreb,Western Mediterranean / North Africa,274,886,1096,3544,low,inland Libya label is hard to place
Jolo,,Southeast Asia,Philippines,Philippine Sea / Sulu Sea,,,,,,
K'gari,,Oceania,Australia East,Australia Coastal Trade,,,,,,
Kaffa,,Africa,Horn of Africa / Red Sea,Red Sea / Gulf of Aden,,,,,,
Kakadu,,Oceania,Australia North,Australia Coastal Trade,,,,,,
Karibib,,Africa,Southwest Africa,South Atlantic Africa,,,,,,
Khatanga,,Arctic / Siberia,Russian Arctic,Arctic Sea Route,,,,,,
Kilwa,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Korf,,Arctic / Siberia,Russian Far East,Sea of Okhotsk,,,,,,
Kuching,,Southeast Asia,Malay Peninsula / Borneo,Strait of Malacca / Borneo,,,,,,
Lambayeque,,Americas,Peru / Ecuador Pacific,Pacific South America,,,,,,
Las Palmas,,Atlantic Islands,Macaronesia,Atlantic Islands,,,,,,
Lima,,Americas,Peru / Ecuador Pacific,Pacific South America,,,,,,
Lisbon,,Europe,Iberia Atlantic,Iberian Atlantic,3948,800,15792,3200,high,user confirmed anchor
London,,Europe,British Isles,North Sea / English Channel,4078,610,16312,2440,low,right edge / dense UK area
Lop Buri,,Southeast Asia,Mainland Southeast Asia,Indochina / Gulf of Thailand,,,,,,
Luanda,,Africa,Southwest Africa,South Atlantic Africa,,,,,,
Lubeck,,Europe,North Sea Low Countries,North Sea / English Channel,104,586,416,2344,medium,visually checked north Germany
Macau,,East Asia,China Coast,South China Sea / East China Sea,,,,,,
Machilipatnam,,South Asia,East India / Bengal,Bay of Bengal,,,,,,
Madeira,,Atlantic Islands,Macaronesia,Atlantic Islands,,,,,,
Makassar,,Southeast Asia,Indonesia / Spice Islands,Java Sea / Spice Islands,,,,,,
Malacca,,Southeast Asia,Malay Peninsula / Borneo,Strait of Malacca / Borneo,,,,,,
Malaga,,Europe,Iberia Mediterranean,Western Mediterranean,4066,820,16264,3280,medium,visually checked south Spain
Malindi,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Manama,,Middle East,Persian Gulf / Oman,Persian Gulf / Arabian Sea,,,,,,
Mangalore,,South Asia,West India / Malabar,Arabian Sea / West India,,,,,,
Manila,,Southeast Asia,Philippines,Philippine Sea / Sulu Sea,,,,,,
Maracaibo,,Americas,Venezuela / Southern Caribbean,Southern Caribbean,,,,,,
Marseilles,,Europe,Southern France / Corsica,Western Mediterranean,24,730,96,2920,medium,visually checked south France
Massawa,,Africa,Horn of Africa / Red Sea,Red Sea / Gulf of Aden,,,,,,
Mecca,,Middle East,Red Sea / Hejaz,Red Sea,,,,,,
Merida,,Americas,Mexico / Gulf Coast,Gulf of Mexico,,,,,,
Mogadishu,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Mombasa,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Montevideo,,Americas,Rio de la Plata,South Atlantic / Plata,,,,,,
Montpellier,,Europe,Southern France / Corsica,Western Mediterranean,7,751,28,3004,high,user confirmed anchor
Mozambique,,Africa,East Africa / Swahili Coast,Western Indian Ocean,,,,,,
Muscat,,Middle East,Persian Gulf / Oman,Persian Gulf / Arabian Sea,,,,,,
Nagasaki,,East Asia,Japan,Japan Sea / East China Sea,,,,,,
Nantes,,Europe,France Atlantic,Bay of Biscay / Channel,3980,674,15920,2696,medium,visually checked west France
Naples,,Europe,Italian Peninsula / Islands,Central Mediterranean,155,776,620,3104,high,user confirmed anchor
