Name,Type,Aliases
"African Shell Perfume","Fragrances",""
"African Wood Carving","Crafts",""
"Agate","Precious Stones",""
"Akvavit","Alcohol",""
"Allspice","Spices",""
"Almonds","Foodstuffs",""
"Alpaca Hair","Fibres",""
"Amber","Precious Stones",""
"Ambergris","Fragrances",""
"Amethyst","Precious Stones",""
"Ammonium Nitrate","Ores",""
"Aniseed","Medicine",""
"Antique Art","Artwork",""
"Apple Cider Vinegar","Seasonings",""
"Apple Vinegar","Seasonings",""
"Apples","Foodstuffs",""
"Apricot","Foodstuffs",""
"Aquavit","Alcohol",""
"Arnica","Medicine",""
"Arquebuses","Firearms",""
"Artwork","Unknown","Artwork"
"Aubergine","Luxury Goods",""
"Autumn Crocus","Medicine",""
"Aventurine","Precious Stones",""
"Awaiyo","Fabrics",""
"Aweotsang","Luxury Goods",""
"Bananas","Foodstuffs",""
"Bark","Wares",""
"Bark Painting","Artwork",""
"Barley","Foodstuffs",""
"Basil","Spices",""
"Batik","Fabrics",""
"Bay Leaf","Seasonings",""
"Beef","Foodstuffs",""
"Beehives","Livestock",""
"Beer","Alcohol",""
"Benzoate","Fragrances",""
"Beopju","Alcohol",""
"Bergamot","Spices",""
"Berries","Foodstuffs",""
"Birch Tree","Wares",""
"Black Ore","Ores",""
"Black Raspberry","Foodstuffs",""
"Black Tea","Luxury Goods",""
"Blue Georgette Dress","Luxury",""
"Blue Mackerel","Foodstuffs",""
"Bombilla","Crafts",""
"Bonito","Foodstuffs",""
"Boulders","Wares",""
"Brandy","Alcohol",""
"Brass Work","Crafts",""
"Broad Beans","Foodstuffs",""
"Bronze Hand Cannon","Firearms",""
"Bronze Sculpture","Artwork",""
"Butter","Seasonings",""
"Cacao","Foodstuffs",""
"Cactus","Foodstuffs",""
"Camas","Foodstuffs",""
"Camel","Livestock",""
"Camel Hair","Fibres",""
"Camphor","Fragrances",""
"Candy Craft","Crafts",""
"Canella","Spices",""
"Cannon Shot","Firearms",""
"Carambola","Foodstuffs",""
"Cardamom","Spices",""
"Carrots","Foodstuffs","Carrots"
"Cashew Nuts","Foodstuffs",""
"Cashmere","Fibres",""
"Cat's Eye","Precious Stones",""
"Cattle","Livestock",""
"Caviar","Foodstuffs",""
"Cayman Sea Salt","Wares",""
"Celery","Foodstuffs",""
"Ceramic","Wares",""
"Ceramics","Crafts",""
"Chamomile","Medicine",""
"Cheese","Foodstuffs",""
"Cherimoya","Foodstuffs",""
"Chickens","Livestock",""
"Chicle","Wares",""
"Chinese Painting","Artwork",""
"Chinese Tea","Luxury Goods",""
"Cinnamon","Spices",""
"Civet Musk","Fragrances",""
"Clay","Wares",""
"Cloves","Spices",""
"Coal","Ores",""
"Cochineal","Dyes",""
"Coconut Fibres","Fibres",""
"Coconut Vinegar","Seasonings",""
"Coconuts","Foodstuffs",""
"Cod","Foodstuffs",""
"Coffee","Luxury Goods",""
"Conch Pearl","Precious Stones",""
"Copper Etchings","Artwork",""
"Copper Ore","Ores",""
"Coral","Precious Stones",""
"Coriander","Spices",""
"Corn","Foodstuffs",""
"Cotton","Fibres",""
"Cotton Fabric","Fabrics",""
"Cranberries","Luxury Goods",""
"Crickets","Livestock",""
"Crystal Crafts","Crafts",""
"Cummin","Spices",""
"Daffodil","Fragrances",""
"Damask Fabric","Fabrics",""
"Diamond","Precious Stones",""
"Dill","Spices",""
"Dorian","Foodstuffs",""
"Dried Apples","Foodstuffs",""
"Dried Apricots","Luxury Goods",""
"Dried Figs","Foodstuffs",""
"Dried Mango","Luxury Goods",""
"Duck Meat","Foodstuffs",""
"Ducks","Livestock",""
"Durian","Foodstuffs",""
"Dutch Calico","Fabrics",""
"Dutch Chintz","Fabrics",""
"Eagle Feather","Fibres",""
"Eastern Cannon","Firearms",""
"Eggs","Foodstuffs",""
"Eider Feather","Fibres",""
"Electrum","Precious Metals",""
"Emerald","Precious Stones",""
"Emu","Livestock",""
"Eucalyptus","Medicine",""
"Exotic Fruit","Foodstuffs",""
"Feathers","Fibres",""
"Fine Clothing","Crafts",""
"Fish","Foodstuffs",""
"Flannel","Fabrics",""
"Flax","Fibres",""
"Frankincense","Fragrances",""
"Gamboge","Dyes",""
"Garam Masala","Spices",""
"Garlic","Foodstuffs",""
"Gasatt sua","Fabrics",""
"Georgette Fabric","Fabrics",""
"Gin","Alcohol",""
"Ginger","Spices",""
"Glasswork","Crafts",""
"Goats","Livestock",""
"Gold","Precious Metals",""
"Goldenseal","Medicine",""
"Goldwork","Crafts",""
"Gorsok","Foodstuffs",""
"Graphite","Ores",""
"Great Barracuda","Foodstuffs",""
"Green Pepper","Spices",""
"Grouper","Foodstuffs",""
"Guarana","Luxury Goods",""
"Guinea Pig","Livestock",""
"Gumo Ink","Dyes",""
"Gunpowder","Firearms",""
"Ham","Foodstuffs",""
"Handwoven Fabric","Fabrics",""
"Heathers","Medicine",""
"Heavy Pumpkin","Luxury Goods",""
"Hemp","Fibres",""
"Herb Oil","Seasonings",""
"Herb Salt","Seasonings",""
"Herb Vinegar","Seasonings",""
"Herring","Foodstuffs",""
"Honey","Seasonings",""
"Horse Mackerel","Foodstuffs",""
"Horses","Livestock",""
"Huzhou Brush","Crafts",""
"Inca Rose","Precious Stones",""
"India Calico","Fabrics",""
"Indian Indigo Dye","Dyes",""
"Indian Mackerel","Foodstuffs",""
"Indian Madder","Dyes",""
"Iron","Wares",""
"Iron Ore","Ores",""
"Ivory","Precious Stones",""
"Jade","Precious Stones",""
"Jambu","Foodstuffs",""
"Japanese Cormorant","Livestock",""
"Jasmine","Fragrances",""
"Java Calico","Fabrics",""
"John Dory","Foodstuffs",""
"Jute","Fibres",""
"Kakadu Plum","Foodstuffs",""
"Kangaroo Meat","Foodstuffs",""
"Kauri Resin","Wares",""
"Kenaf","Fibres",""
"Knitted Fabric","Fabrics",""
"Koauau","Crafts",""
"Korean Black Raspberry","Foodstuffs",""
"Korean Tea","Luxury Goods",""
"Lamb","Foodstuffs",""
"Lambs","Livestock",""
"Lapis Lazuli","Precious Stones",""
"Laurel","Spices",""
"Lavender","Spices",""
"Lead Ore","Ores",""
"Leather","Fibres",""
"Leather Cord","Crafts",""
"Leatherwork","Crafts",""
"Leegangju","Alcohol",""
"Lemon","Foodstuffs",""
"Lemon Myrtle","Luxury Goods",""
"Lemon Oil","Fragrances",""
"Lemongrass","Spices",""
"Lilac","Fragrances",""
"Lily Of the Valley","Fragrances",""
"Liqueur","Alcohol",""
"Logwood","Dyes",""
"Long Sword","Arms",""
"Lumber","Wares",""
"Luxury Furniture","Wares",""
"Macadamia","Foodstuffs",""
"Mace","Spices",""
"Mahogany","Wares",""
"Mako Shark","Foodstuffs",""
"Malachite","Precious Stones",""
"Mango","Foodstuffs",""
"Mangosteen","Foodstuffs",""
"Marble","Wares",""
"Marble Doll","Crafts",""
"Mastic","Medicine",""
"Mate Tea","Luxury Goods",""
"Mayanburu","Dyes",""
"Meadow Saffron","Medicine",""
"Mercury","Ores",""
"Meteorite","Precious Stones",""
"Mianzhu nian hua","Crafts",""
"Milk","Foodstuffs",""
"Mimosa","Dyes",""
"Mohair","Fibres",""
"Mookaite","Precious Stones",""
"Moose","Livestock",""
"Mortar","Wares",""
"Mule","Livestock",""
"Mullet","Foodstuffs",""
"Mushrooms","Foodstuffs",""
"Musk","Fragrances",""
"Muskets","Firearms",""
"Mustard","Spices",""
"Myrrh","Medicine",""
"Myrtus","Fragrances",""
"Nam Pla","Seasonings",""
"Nanduti","Fabrics",""
"Narcissus","Fragrances",""
"Neroli","Fragrances",""
"Noni","Medicine",""
"Nuoc Mam","Seasonings",""
"Nutmeg","Spices",""
"Oakmoss","Fragrances",""
"Oil","Wares",""
"Oil Paintings","Artwork",""
"Okpa","Foodstuffs",""
"Olive Oil","Seasonings",""
"Olives","Foodstuffs",""
"Onions","Foodstuffs",""
"Opal","Precious Stones",""
"Orange Daylily","Foodstuffs",""
"Orange Oil","Fragrances",""
"Oregano","Spices",""
"Oyster Sauce","Seasonings",""
"Oysters","Foodstuffs",""
"Palepai","Crafts",""
"Palm Wine","Alcohol",""
"Paper","Wares",""
"Paper Lantern","Wares",""
"Papyrus","Wares",""
"Parchment","Wares",""
"Parsley","Spices",""
"Pasta","Foodstuffs",""
"Pastry","Foodstuffs",""
"Patchouli","Fragrances",""
"Peacock Feather","Fibres",""
"Peanuts","Foodstuffs",""
"Pearl","Precious Stones",""
"Pearl Millet","Foodstuffs",""
"Peony","Medicine",""
"Pepper","Spices",""
"Pepper Paste","Seasonings",""
"Peridot","Precious Stones",""
"Persian Berry","Dyes",""
"Persian Carpet","Fabrics",""
"Persian Rug","Fabrics",""
"Peto","Foodstuffs",""
"Pickles","Luxury Goods",""
"Pigs","Livestock",""
"Pineapple","Foodstuffs",""
"Pink Diamond","Precious Stones",""
"Pipe","Wares",""
"Pisco","Alcohol",""
"Pistachio Nuts","Luxury Goods",""
"Platinum","Precious Metals",""
"Pomegranate","Dyes",""
"Pork","Foodstuffs",""
"Potatoes","Foodstuffs",""
"Pottery","Crafts",""
"Poultry","Foodstuffs",""
"Prunes","Foodstuffs",""
"Pumpkins","Foodstuffs",""
"Qulliq","Crafts",""
"Raisins","Luxury Goods","Raisins"
"Red Beans","Foodstuffs",""
"Red Copper","Ores",""
"Red Pepper","Spices",""
"Red Snapper","Foodstuffs",""
"Reeves's Muntjac","Livestock",""
"Reseda Luteola","Dyes",""
"Resin","Wares",""
"Rhino Horns","Medicine",""
"Rice","Foodstuffs",""
"Rockfish","Foodstuffs",""
"Rooibos","Medicine",""
"Rosemary","Spices",""
"Rosewood","Wares",""
"Rubber","Wares",""
"Ruby","Precious Stones",""
"Rum","Alcohol",""
"Rye","Foodstuffs",""
"Saffron","Spices",""
"Sago","Foodstuffs",""
"Sai Kaku","Medicine",""
"Salt","Seasonings",""
"Saltpeter","Ores",""
"Sand","Wares",""
"Sandalwood","Fragrances",""
"Sanjiegun","Arms",""
"Saori","Fabrics",""
"Sapphire","Precious Stones",""
"Sarasa","Fabrics",""
"Sardine","Foodstuffs",""
"Saury","Foodstuffs",""
"Senna","Medicine",""
"Sesame Seeds","Spices",""
"Shamshirs","Arms",""
"Sheep","Livestock",""
"Shell Ornament","Crafts",""
"Sherry","Alcohol",""
"Short Swords","Arms",""
"Shuri Ori","Fabrics",""
"Sichuan Pepper","Spices",""
"Silk Cotton","Fibres",""
"Silk Thread","Fibres",""
"Silver","Precious Metals",""
"Silverwork","Wares",""
"Sisal","Fibres",""
"Sofrito","Seasonings",""
"Soft Rush","Wares",""
"Spanish Mackerel","Foodstuffs",""
"Spear Squid","Foodstuffs",""
"Steel","Wares",""
"Stone","Wares",""
"Strawberries","Foodstuffs",""
"Stroganina","Foodstuffs",""
"Sugar","Seasonings",""
"Sugar Cane","Foodstuffs",""
"Sulphur","Wares",""
"Sword of Damascus","Arms",""
"Taffeta","Fabrics",""
"Taiwan Mijiu","Alcohol",""
"Tamarind","Seasonings",""
"Tapestries","Fabrics",""
"Taro","Foodstuffs",""
"Tea Olive","Fragrances",""
"Tea Tree","Medicine",""
"Tequila","Alcohol",""
"Thyme","Spices",""
"Tiare Flower","Fragrances",""
"Tin","Ores",""
"Tin Ore","Ores",""
"Tobacco","Luxury Goods",""
"Toddy","Alcohol",""
"Tomatoes","Foodstuffs",""
"Topaz","Precious Stones",""
"Tourmaline","Precious Stones",""
"Tuna","Foodstuffs",""
"Turkish Carpet","Fabrics",""
"Turkish Rugs","Fabrics",""
"Turmeric","Dyes",""
"Turnips","Foodstuffs",""
"Turquoise","Precious Stones",""
"Tyrian Purple","Dyes",""
"Upland Rice","Foodstuffs",""
"Urumi","Arms",""
"Valentine Chocolate","Luxury Goods",""
"Vegetable Oil","Seasonings",""
"Velvet","Fabrics",""
"Venison","Foodstuffs",""
"Vinegar","Seasonings",""
"Vodka","Alcohol",""
"Walnuts","Foodstuffs",""
"Wampum","Fabrics",""
"Water Caltrop","Foodstuffs",""
"Western Armor","Arms",""
"Western Books","Wares",""
"Western Cannon","Firearms",""
"Wetland Rice","Foodstuffs",""
"Wheat","Foodstuffs",""
"Whiskey","Alcohol",""
"White Ore","Ores",""
"White Vinegar","Seasonings",""
"Wild Oats","Foodstuffs",""
"Wild Rabbits","Livestock",""
"Wine","Alcohol",""
"Woad","Dyes",""
"Wood Sculpture","Artwork",""
"Wool","Fibres",""
"Woollen Fabric","Fabrics",""
"Yangzhou Chestnut","Foodstuffs",""
"Ylang-ylang","Fragrances",""
"Yosegi","Crafts",""
"Zinc Ore","Ores",""
