record_id,po_category,trade_good_type,trade_good,cooking_min,cooking_max,sewing_min,sewing_max,casting_min,casting_max,storage_min,storage_max,handicrafts_min,handicrafts_max,best_skill,best_min,best_max,best_avg,contribution_summary,uncertain,confidence,notes,source_table,source_url,google_sheet_url,app_note
FLO-WIDE-0001,PO1,Foods,Opah,21,21,,,,,,,,,Cooking,21,21,21.0,Cooking 21-21,yes,medium,Cooking: Fandom high-value table marks 21? / 21?; one kind of fish,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0003,PO4,Spice,Saffron,5,5,,,,,4,5,,,Cooking,5,5,5.0,Cooking 5-5; Storage 4-5,no,low,Cooking: Text extract shows 5/5 and 4/5 contributions but not exact columns | Storage: Text extract shows 5/5 and 4/5 contributions but not exact columns,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0004,PO4,Spice,Pepper,1,2,,,,,1,2,,,Cooking,1,2,1.5,Cooking 1-2; Storage 1-2,no,low,Cooking: Text extract shows two 1-2 contributions but not exact columns | Storage: Text extract shows two 1-2 contributions but not exact columns,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0005,PO4,Gems,Pink Diamond,,,16,16,,,,,15,15,Sewing,16,16,16.0,Sewing 16-16; Handicrafts 15-15,yes,low,Sewing: Fandom text shows Pink Diamond 16? 15? but exact columns unclear | Handicrafts: Fandom text shows Pink Diamond 16? 15? but exact columns unclear,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0006,PO3,Fabrics,Persian Carpet,,,14,16,,,,,,,Sewing,14,16,15.0,Sewing 14-16,no,medium,Sewing: Fandom high-value table,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0007,PO2,Dyes,Tyrian Purple,,,13,15,,,,,,,Sewing,13,15,14.0,Sewing 13-15,no,medium,Sewing: Dyes category; values from Fandom high-value table,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0008,PO3,Fabrics,Turkish Carpet,,,13,15,,,,,,,Sewing,13,15,14.0,Sewing 13-15,no,medium,Sewing: Fandom high-value table,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0009,PO3,Fabrics,Damask Fabric,,,11,14,,,,,,,Sewing,11,14,12.5,Sewing 11-14,no,medium,"Sewing: Fandom high-value table; remark says this is good, 19-20 under special context",Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0010,PO3,Fabrics,Velvet,,,11,13,,,,,,,Sewing,11,13,12.0,Sewing 11-13,no,medium,Sewing: Fandom high-value table,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
FLO-WIDE-0011,PO4,Gems,Pearl,,,8,9,,,,,8,9,Sewing,8,9,8.5,Sewing 8-9; Handicrafts 8-9,no,low,Sewing: Text extract shows two 8-9 contributions but not exact columns | Handicrafts: Text extract shows two 8-9 contributions but not exact columns,Fandom Florence high-value table,https://unchartedwaters.fandom.com/wiki/Florence,https://docs.google.com/spreadsheets/d/1qD74nt3NxZLfP-pDdcIsC7bgpfnlIsYSpYmy3n3DDX4/edit?gid=0#gid=0,Wide format: one row per trade good. Empty min/max means no contribution found for that skill in the parsed public table.
