"SourceMarket","TradeGood","Category","SellArea","Price","MarketSignal","SourceUrl"
"Japan","Amethyst","Precious Stones","Arabia","31620","High price","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Atlantic Ocean","26520","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Caribbean Sea","39780","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","E Coast of Latin America","36720","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","East Africa","31620","High price","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Germany","41820","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Iberia","41820","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","India","23460","High price","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Indo-China","15300","High price","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Italy and Southern France","41820","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","North Africa","29580","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","North America","26520","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Northern Europe","41820","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Northern France","41820","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Oceania","12240","","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
"Japan","Amethyst","Precious Stones","Persia","26520","High price","https://web.archive.org/web/20140214020456/http://uwodbmirror.ivyro.net/eg/main.php?id=85000037"
